id;name;type;life;misc;geom
10;L10;LINE-DESCENDING;11.027172;"mm-line|L10|flow:D|fS:1|fE:0|S:2|E:8|UE:8|USs:9,12";"LINESTRING (9165.000000 4065.000000,9135.000000 4065.000000,9135.000000 4095.000000)"
11;L11;LINE-DESCENDING;12.415169;"mm-line|L11|flow:D|fS:0|fE:0|S:9|E:4294967295|UE:4294967295|USs:9";"LINESTRING (9315.000000 15.000000,9315.000000 -15.000000)"
12;L12;LINE-DESCENDING;12.415169;"mm-line|L12|flow:D|fS:0|fE:0|S:12|E:4294967295|UE:4294967295|USs:12";"LINESTRING (11985.000000 4065.000000,12015.000000 4065.000000)"
13;L13;LINE-DESCENDING;12.415169;"mm-line|L13|flow:D|fS:0|fE:1|S:12|E:2|UE:8|USs:12";"LINESTRING (11985.000000 4065.000000,11955.000000 4065.000000,11925.000000 4065.000000,11895.000000 4065.000000,11865.000000 4065.000000,11835.000000 4065.000000,11805.000000 4065.000000,11775.000000 4065.000000,11745.000000 4065.000000,11715.000000 4065.000000,11685.000000 4065.000000,11655.000000 4065.000000,11625.000000 4065.000000,11595.000000 4065.000000,11565.000000 4065.000000,11535.000000 4065.000000,11505.000000 4065.000000,11475.000000 4065.000000,11445.000000 4065.000000,11415.000000 4065.000000,11385.000000 4065.000000,11355.000000 4065.000000,11325.000000 4065.000000,11295.000000 4065.000000,11265.000000 4065.000000,11235.000000 4065.000000,11205.000000 4065.000000,11175.000000 4065.000000,11145.000000 4065.000000,11115.000000 4065.000000,11085.000000 4065.000000,11055.000000 4065.000000,11025.000000 4065.000000,10995.000000 4065.000000,10965.000000 4065.000000,10935.000000 4065.000000,10905.000000 4065.000000,10875.000000 4065.000000,10845.000000 4065.000000,10815.000000 4065.000000,10785.000000 4065.000000,10755.000000 4065.000000,10725.000000 4065.000000,10695.000000 4065.000000,10665.000000 4065.000000,10635.000000 4065.000000,10605.000000 4065.000000,10575.000000 4065.000000,10545.000000 4065.000000,10515.000000 4065.000000,10485.000000 4065.000000,10455.000000 4065.000000,10425.000000 4065.000000,10395.000000 4065.000000,10365.000000 4065.000000,10335.000000 4065.000000,10305.000000 4065.000000,10275.000000 4065.000000,10245.000000 4065.000000,10215.000000 4065.000000,10185.000000 4065.000000,10155.000000 4065.000000,10125.000000 4065.000000,10095.000000 4065.000000,10065.000000 4065.000000,10035.000000 4065.000000,10005.000000 4065.000000,9975.000000 4065.000000,9945.000000 4065.000000,9915.000000 4065.000000,9885.000000 4065.000000,9855.000000 4065.000000,9825.000000 4065.000000,9795.000000 4065.000000,9765.000000 4065.000000,9735.000000 4065.000000,9705.000000 4065.000000,9675.000000 4065.000000,9645.000000 4065.000000,9615.000000 4065.000000,9585.000000 4065.000000,9555.000000 4065.000000,9525.000000 4065.000000,9495.000000 4065.000000,9465.000000 4065.000000,9435.000000 4065.000000,9405.000000 4065.000000,9375.000000 4065.000000,9345.000000 4065.000000,9315.000000 4065.000000,9285.000000 4065.000000,9255.000000 4065.000000,9225.000000 4065.000000,9195.000000 4065.000000,9165.000000 4065.000000)"
14;L14;LINE-DESCENDING;12.415169;"mm-line|L14|flow:D|fS:0|fE:1|S:9|E:2|UE:8|USs:9";"LINESTRING (9315.000000 15.000000,9315.000000 45.000000,9315.000000 75.000000,9315.000000 105.000000,9315.000000 135.000000,9315.000000 165.000000,9315.000000 195.000000,9315.000000 225.000000,9315.000000 255.000000,9315.000000 285.000000,9315.000000 315.000000,9315.000000 345.000000,9315.000000 375.000000,9315.000000 405.000000,9315.000000 435.000000,9315.000000 465.000000,9315.000000 495.000000,9315.000000 525.000000,9315.000000 555.000000,9315.000000 585.000000,9315.000000 615.000000,9315.000000 645.000000,9315.000000 675.000000,9315.000000 705.000000,9315.000000 735.000000,9315.000000 765.000000,9315.000000 795.000000,9315.000000 825.000000,9315.000000 855.000000,9315.000000 885.000000,9315.000000 915.000000,9315.000000 945.000000,9315.000000 975.000000,9315.000000 1005.000000,9315.000000 1035.000000,9315.000000 1065.000000,9315.000000 1095.000000,9315.000000 1125.000000,9315.000000 1155.000000,9315.000000 1185.000000,9315.000000 1215.000000,9315.000000 1245.000000,9315.000000 1275.000000,9315.000000 1305.000000,9315.000000 1335.000000,9315.000000 1365.000000,9315.000000 1395.000000,9315.000000 1425.000000,9315.000000 1455.000000,9315.000000 1485.000000,9315.000000 1515.000000,9315.000000 1545.000000,9315.000000 1575.000000,9315.000000 1605.000000,9315.000000 1635.000000,9315.000000 1665.000000,9315.000000 1695.000000,9315.000000 1725.000000,9315.000000 1755.000000,9315.000000 1785.000000,9315.000000 1815.000000,9315.000000 1845.000000,9315.000000 1875.000000,9315.000000 1905.000000,9315.000000 1935.000000,9315.000000 1965.000000,9315.000000 1995.000000,9315.000000 2025.000000,9315.000000 2055.000000,9315.000000 2085.000000,9315.000000 2115.000000,9315.000000 2145.000000,9315.000000 2175.000000,9315.000000 2205.000000,9315.000000 2235.000000,9315.000000 2265.000000,9315.000000 2295.000000,9315.000000 2325.000000,9315.000000 2355.000000,9315.000000 2385.000000,9315.000000 2415.000000,9315.000000 2445.000000,9315.000000 2475.000000,9315.000000 2505.000000,9315.000000 2535.000000,9315.000000 2565.000000,9315.000000 2595.000000,9315.000000 2625.000000,9315.000000 2655.000000,9315.000000 2685.000000,9315.000000 2715.000000,9315.000000 2745.000000,9315.000000 2775.000000,9315.000000 2805.000000,9315.000000 2835.000000,9315.000000 2865.000000,9315.000000 2895.000000,9315.000000 2925.000000,9315.000000 2955.000000,9315.000000 2985.000000,9315.000000 3015.000000,9315.000000 3045.000000,9315.000000 3075.000000,9315.000000 3105.000000,9315.000000 3135.000000,9315.000000 3165.000000,9315.000000 3195.000000,9315.000000 3225.000000,9315.000000 3255.000000,9315.000000 3285.000000,9315.000000 3315.000000,9315.000000 3345.000000,9315.000000 3375.000000,9315.000000 3405.000000,9315.000000 3435.000000,9315.000000 3465.000000,9315.000000 3495.000000,9315.000000 3525.000000,9315.000000 3555.000000,9315.000000 3585.000000,9315.000000 3615.000000,9315.000000 3645.000000,9315.000000 3675.000000,9315.000000 3705.000000,9315.000000 3735.000000,9315.000000 3765.000000,9315.000000 3795.000000,9315.000000 3825.000000,9315.000000 3855.000000,9315.000000 3885.000000,9315.000000 3915.000000,9285.000000 3915.000000,9285.000000 3945.000000,9255.000000 3945.000000,9255.000000 3975.000000,9225.000000 3975.000000,9225.000000 4005.000000,9195.000000 4005.000000,9195.000000 4035.000000,9165.000000 4035.000000,9165.000000 4065.000000)"
15;L15;LINE-ASCENDING;12.596723;"mm-line|L15|flow:U|fS:0|fE:0|S:1|E:4|UE:4|USs:1";"LINESTRING (4125.000000 7155.000000,4155.000000 7185.000000,4185.000000 7215.000000,4215.000000 7245.000000,4245.000000 7275.000000,4275.000000 7305.000000,4305.000000 7335.000000,4335.000000 7365.000000,4365.000000 7395.000000,4395.000000 7425.000000,4425.000000 7455.000000,4455.000000 7485.000000,4485.000000 7515.000000,4515.000000 7545.000000,4545.000000 7575.000000,4575.000000 7605.000000,4605.000000 7635.000000,4635.000000 7665.000000,4665.000000 7695.000000,4695.000000 7725.000000,4725.000000 7755.000000,4755.000000 7785.000000,4785.000000 7815.000000,4815.000000 7845.000000,4845.000000 7875.000000,4875.000000 7905.000000,4905.000000 7935.000000,4935.000000 7965.000000,4965.000000 7995.000000,4995.000000 8025.000000,5025.000000 8055.000000,5055.000000 8085.000000,5085.000000 8115.000000,5115.000000 8145.000000,5145.000000 8175.000000,5175.000000 8205.000000,5205.000000 8235.000000,5235.000000 8265.000000,5265.000000 8295.000000,5295.000000 8325.000000,5325.000000 8355.000000,5355.000000 8385.000000,5385.000000 8415.000000,5415.000000 8445.000000,5445.000000 8475.000000,5475.000000 8505.000000,5505.000000 8535.000000,5535.000000 8565.000000,5565.000000 8595.000000,5595.000000 8625.000000,5625.000000 8655.000000,5655.000000 8685.000000,5685.000000 8715.000000,5715.000000 8745.000000,5745.000000 8775.000000,5775.000000 8805.000000,5805.000000 8835.000000,5835.000000 8865.000000,5865.000000 8895.000000,5865.000000 8925.000000,5895.000000 8955.000000,5895.000000 8985.000000,5925.000000 9015.000000,5925.000000 9045.000000,5955.000000 9075.000000,5955.000000 9105.000000,5985.000000 9135.000000,5985.000000 9165.000000,6015.000000 9195.000000,6015.000000 9225.000000,6045.000000 9255.000000,6045.000000 9285.000000,6075.000000 9315.000000)"
16;L16;LINE-ASCENDING;12.596723;"mm-line|L16|flow:U|fS:0|fE:0|S:1|E:0|UE:0|USs:1";"LINESTRING (4125.000000 7155.000000,4095.000000 7125.000000,4095.000000 7095.000000,4065.000000 7065.000000,4035.000000 7035.000000,4005.000000 7005.000000,3975.000000 6975.000000,3975.000000 6945.000000,3945.000000 6915.000000,3915.000000 6885.000000,3915.000000 6855.000000,3885.000000 6825.000000,3885.000000 6795.000000,3855.000000 6765.000000,3825.000000 6735.000000,3825.000000 6705.000000,3795.000000 6675.000000,3795.000000 6645.000000,3765.000000 6615.000000,3765.000000 6585.000000,3735.000000 6555.000000,3735.000000 6525.000000,3705.000000 6495.000000,3705.000000 6465.000000,3675.000000 6435.000000,3675.000000 6405.000000,3675.000000 6375.000000,3645.000000 6345.000000,3645.000000 6315.000000,3615.000000 6285.000000,3615.000000 6255.000000,3585.000000 6225.000000,3585.000000 6195.000000,3585.000000 6165.000000,3555.000000 6135.000000,3555.000000 6105.000000,3525.000000 6075.000000,3525.000000 6045.000000,3525.000000 6015.000000,3495.000000 5985.000000,3495.000000 5955.000000,3465.000000 5925.000000,3465.000000 5895.000000,3465.000000 5865.000000,3435.000000 5835.000000,3435.000000 5805.000000,3405.000000 5775.000000,3405.000000 5745.000000,3405.000000 5715.000000,3375.000000 5685.000000,3375.000000 5655.000000,3345.000000 5625.000000,3345.000000 5595.000000,3345.000000 5565.000000,3315.000000 5535.000000,3315.000000 5505.000000,3315.000000 5475.000000,3285.000000 5475.000000,3285.000000 5445.000000)"
17;L17;LINE-ASCENDING;12.596723;"mm-line|L17|flow:U|fS:0|fE:0|S:2|E:0|UE:0|USs:2";"LINESTRING (4305.000000 3915.000000,4275.000000 3915.000000,4275.000000 3945.000000,4275.000000 3975.000000,4275.000000 4005.000000,4245.000000 4005.000000,4245.000000 4035.000000,4245.000000 4065.000000,4215.000000 4065.000000,4215.000000 4095.000000,4215.000000 4125.000000,4215.000000 4155.000000,4185.000000 4155.000000,4185.000000 4185.000000,4185.000000 4215.000000,4185.000000 4245.000000,4155.000000 4245.000000,4155.000000 4275.000000,4155.000000 4305.000000,4125.000000 4305.000000,4125.000000 4335.000000,4125.000000 4365.000000,4095.000000 4365.000000,4095.000000 4395.000000,4095.000000 4425.000000,4065.000000 4425.000000,4065.000000 4455.000000,4065.000000 4485.000000,4035.000000 4485.000000,4035.000000 4515.000000,4035.000000 4545.000000,4005.000000 4545.000000,4005.000000 4575.000000,3975.000000 4575.000000,3975.000000 4605.000000,3975.000000 4635.000000,3945.000000 4635.000000,3945.000000 4665.000000,3945.000000 4695.000000,3915.000000 4695.000000,3915.000000 4725.000000,3885.000000 4725.000000,3885.000000 4755.000000,3855.000000 4755.000000,3855.000000 4785.000000,3855.000000 4815.000000,3825.000000 4815.000000,3825.000000 4845.000000,3795.000000 4845.000000,3795.000000 4875.000000,3765.000000 4875.000000,3765.000000 4905.000000,3765.000000 4935.000000,3735.000000 4935.000000,3735.000000 4965.000000,3705.000000 4965.000000,3705.000000 4995.000000,3675.000000 4995.000000,3675.000000 5025.000000,3645.000000 5025.000000,3645.000000 5055.000000,3615.000000 5055.000000,3615.000000 5085.000000,3615.000000 5115.000000,3585.000000 5115.000000,3585.000000 5145.000000,3555.000000 5145.000000,3555.000000 5175.000000,3525.000000 5175.000000,3525.000000 5205.000000,3495.000000 5205.000000,3495.000000 5235.000000,3465.000000 5235.000000,3465.000000 5265.000000,3435.000000 5265.000000,3435.000000 5295.000000,3405.000000 5295.000000,3405.000000 5325.000000,3405.000000 5355.000000,3375.000000 5355.000000,3375.000000 5385.000000,3345.000000 5385.000000,3345.000000 5415.000000,3315.000000 5415.000000,3315.000000 5445.000000,3285.000000 5445.000000)"
18;L18;LINE-ASCENDING;12.596723;"mm-line|L18|flow:U|fS:0|fE:0|S:2|E:3|UE:3|USs:2";"LINESTRING (4305.000000 3915.000000,4305.000000 3885.000000,4305.000000 3855.000000,4305.000000 3825.000000,4335.000000 3825.000000,4335.000000 3795.000000,4335.000000 3765.000000,4365.000000 3765.000000,4365.000000 3735.000000,4365.000000 3705.000000,4395.000000 3705.000000,4395.000000 3675.000000,4395.000000 3645.000000,4425.000000 3645.000000,4425.000000 3615.000000,4425.000000 3585.000000,4455.000000 3585.000000,4455.000000 3555.000000,4455.000000 3525.000000,4485.000000 3525.000000,4485.000000 3495.000000,4485.000000 3465.000000,4515.000000 3465.000000,4515.000000 3435.000000,4545.000000 3435.000000,4545.000000 3405.000000,4545.000000 3375.000000,4575.000000 3375.000000,4575.000000 3345.000000,4605.000000 3345.000000,4605.000000 3315.000000,4605.000000 3285.000000,4635.000000 3285.000000,4635.000000 3255.000000,4665.000000 3255.000000,4665.000000 3225.000000,4695.000000 3225.000000,4695.000000 3195.000000,4695.000000 3165.000000,4725.000000 3165.000000,4725.000000 3135.000000,4755.000000 3135.000000,4755.000000 3105.000000,4785.000000 3105.000000,4785.000000 3075.000000,4815.000000 3075.000000,4815.000000 3045.000000,4845.000000 3045.000000,4845.000000 3015.000000,4875.000000 3015.000000,4875.000000 2985.000000,4875.000000 2955.000000,4905.000000 2955.000000,4905.000000 2925.000000,4935.000000 2925.000000,4935.000000 2895.000000,4965.000000 2895.000000,4965.000000 2865.000000,4995.000000 2865.000000,4995.000000 2835.000000,5025.000000 2835.000000,5025.000000 2805.000000,5055.000000 2805.000000,5055.000000 2775.000000,5085.000000 2775.000000)"
19;L19;LINE-ASCENDING;12.596723;"mm-line|L19|flow:U|fS:1|fE:0|S:3|E:4|UE:4|USs:6,7";"LINESTRING (6705.000000 8835.000000,6675.000000 8835.000000,6645.000000 8835.000000,6645.000000 8865.000000,6615.000000 8865.000000,6615.000000 8895.000000,6585.000000 8895.000000,6555.000000 8895.000000,6555.000000 8925.000000,6525.000000 8925.000000,6525.000000 8955.000000,6495.000000 8955.000000,6495.000000 8985.000000,6465.000000 8985.000000,6435.000000 8985.000000,6435.000000 9015.000000,6405.000000 9015.000000,6405.000000 9045.000000,6375.000000 9045.000000,6375.000000 9075.000000,6345.000000 9075.000000,6345.000000 9105.000000,6315.000000 9105.000000,6285.000000 9105.000000,6285.000000 9135.000000,6255.000000 9135.000000,6255.000000 9165.000000,6225.000000 9165.000000,6225.000000 9195.000000,6195.000000 9195.000000,6195.000000 9225.000000,6165.000000 9225.000000,6165.000000 9255.000000,6135.000000 9255.000000,6135.000000 9285.000000,6105.000000 9285.000000,6105.000000 9315.000000,6075.000000 9315.000000)"
20;L20;LINE-ASCENDING;7.591952;"mm-line|L20|flow:U|fS:0|fE:0|S:6|E:3|UE:3|USs:6";"LINESTRING (7185.000000 5355.000000,7155.000000 5325.000000,7125.000000 5295.000000,7095.000000 5265.000000,7065.000000 5235.000000,7035.000000 5205.000000,7005.000000 5175.000000,6975.000000 5145.000000,6945.000000 5115.000000,6915.000000 5085.000000,6885.000000 5055.000000,6855.000000 5025.000000,6825.000000 4995.000000,6795.000000 4965.000000,6765.000000 4935.000000,6735.000000 4905.000000,6705.000000 4875.000000,6675.000000 4845.000000,6645.000000 4815.000000,6615.000000 4785.000000,6585.000000 4755.000000,6555.000000 4725.000000,6525.000000 4695.000000,6495.000000 4665.000000,6465.000000 4635.000000,6435.000000 4605.000000,6405.000000 4575.000000,6375.000000 4545.000000,6345.000000 4515.000000,6315.000000 4485.000000,6285.000000 4455.000000,6255.000000 4425.000000,6225.000000 4395.000000,6195.000000 4365.000000,6165.000000 4335.000000,6135.000000 4305.000000,6105.000000 4275.000000,6075.000000 4245.000000,6045.000000 4215.000000,6015.000000 4185.000000,5985.000000 4155.000000,5955.000000 4125.000000,5925.000000 4095.000000,5895.000000 4065.000000,5865.000000 4035.000000,5835.000000 4005.000000,5805.000000 3975.000000,5775.000000 3945.000000,5745.000000 3915.000000,5715.000000 3885.000000,5685.000000 3855.000000,5655.000000 3825.000000,5625.000000 3795.000000,5595.000000 3765.000000,5565.000000 3735.000000,5535.000000 3705.000000,5505.000000 3675.000000,5475.000000 3645.000000,5445.000000 3615.000000,5415.000000 3585.000000,5385.000000 3555.000000,5355.000000 3525.000000,5325.000000 3495.000000,5295.000000 3465.000000,5265.000000 3435.000000,5235.000000 3405.000000,5205.000000 3375.000000,5205.000000 3345.000000,5205.000000 3315.000000,5205.000000 3285.000000,5205.000000 3255.000000,5205.000000 3225.000000,5175.000000 3195.000000,5175.000000 3165.000000,5175.000000 3135.000000,5175.000000 3105.000000,5175.000000 3075.000000,5145.000000 3045.000000,5145.000000 3015.000000,5145.000000 2985.000000,5145.000000 2955.000000,5115.000000 2925.000000,5115.000000 2895.000000,5115.000000 2865.000000,5085.000000 2835.000000,5085.000000 2805.000000,5085.000000 2775.000000)"
21;L21;LINE-ASCENDING;12.596723;"mm-line|L21|flow:U|fS:0|fE:1|S:7|E:3|UE:4|USs:7";"LINESTRING (8025.000000 8835.000000,7995.000000 8835.000000,7965.000000 8835.000000,7935.000000 8835.000000,7905.000000 8835.000000,7875.000000 8835.000000,7845.000000 8835.000000,7815.000000 8835.000000,7785.000000 8835.000000,7755.000000 8835.000000,7725.000000 8835.000000,7695.000000 8835.000000,7665.000000 8835.000000,7635.000000 8835.000000,7605.000000 8835.000000,7575.000000 8835.000000,7545.000000 8835.000000,7515.000000 8835.000000,7485.000000 8835.000000,7455.000000 8835.000000,7425.000000 8835.000000,7395.000000 8835.000000,7365.000000 8835.000000,7335.000000 8835.000000,7305.000000 8835.000000,7275.000000 8835.000000,7245.000000 8835.000000,7215.000000 8835.000000,7185.000000 8835.000000,7155.000000 8835.000000,7125.000000 8835.000000,7095.000000 8835.000000,7065.000000 8835.000000,7035.000000 8835.000000,7005.000000 8835.000000,6975.000000 8835.000000,6945.000000 8835.000000,6915.000000 8835.000000,6885.000000 8835.000000,6855.000000 8835.000000,6825.000000 8835.000000,6795.000000 8835.000000,6765.000000 8835.000000,6735.000000 8835.000000,6705.000000 8835.000000)"
22;L22;LINE-ASCENDING;7.591952;"mm-line|L22|flow:U|fS:0|fE:1|S:6|E:3|UE:4|USs:6";"LINESTRING (7185.000000 5355.000000,7215.000000 5385.000000,7245.000000 5415.000000,7275.000000 5445.000000,7305.000000 5475.000000,7335.000000 5505.000000,7365.000000 5535.000000,7365.000000 5565.000000,7395.000000 5595.000000,7425.000000 5625.000000,7425.000000 5655.000000,7455.000000 5685.000000,7455.000000 5715.000000,7485.000000 5745.000000,7485.000000 5775.000000,7515.000000 5805.000000,7515.000000 5835.000000,7515.000000 5865.000000,7545.000000 5895.000000,7545.000000 5925.000000,7545.000000 5955.000000,7545.000000 5985.000000,7575.000000 6015.000000,7575.000000 6045.000000,7575.000000 6075.000000,7575.000000 6105.000000,7575.000000 6135.000000,7575.000000 6165.000000,7575.000000 6195.000000,7575.000000 6225.000000,7575.000000 6255.000000,7575.000000 6285.000000,7575.000000 6315.000000,7575.000000 6345.000000,7575.000000 6375.000000,7575.000000 6405.000000,7575.000000 6435.000000,7575.000000 6465.000000,7575.000000 6495.000000,7575.000000 6525.000000,7575.000000 6555.000000,7575.000000 6585.000000,7575.000000 6615.000000,7575.000000 6645.000000,7575.000000 6675.000000,7575.000000 6705.000000,7575.000000 6735.000000,7575.000000 6765.000000,7575.000000 6795.000000,7575.000000 6825.000000,7575.000000 6855.000000,7575.000000 6885.000000,7575.000000 6915.000000,7575.000000 6945.000000,7575.000000 6975.000000,7575.000000 7005.000000,7575.000000 7035.000000,7575.000000 7065.000000,7575.000000 7095.000000,7575.000000 7125.000000,7575.000000 7155.000000,7575.000000 7185.000000,7575.000000 7215.000000,7575.000000 7245.000000,7575.000000 7275.000000,7575.000000 7305.000000,7575.000000 7335.000000,7575.000000 7365.000000,7575.000000 7395.000000,7575.000000 7425.000000,7575.000000 7455.000000,7575.000000 7485.000000,7575.000000 7515.000000,7575.000000 7545.000000,7575.000000 7575.000000,7575.000000 7605.000000,7575.000000 7635.000000,7575.000000 7665.000000,7575.000000 7695.000000,7575.000000 7725.000000,7575.000000 7755.000000,7575.000000 7785.000000,7575.000000 7815.000000,7575.000000 7845.000000,7575.000000 7875.000000,7575.000000 7905.000000,7575.000000 7935.000000,7575.000000 7965.000000,7575.000000 7995.000000,7575.000000 8025.000000,7575.000000 8055.000000,7575.000000 8085.000000,7575.000000 8115.000000,7575.000000 8145.000000,7575.000000 8175.000000,7575.000000 8205.000000,7575.000000 8235.000000,7575.000000 8265.000000,7575.000000 8295.000000,7575.000000 8325.000000,7575.000000 8355.000000,7575.000000 8385.000000,7575.000000 8415.000000,7575.000000 8445.000000,7575.000000 8475.000000,7575.000000 8505.000000,7575.000000 8535.000000,7575.000000 8565.000000,7575.000000 8595.000000,7575.000000 8625.000000,7575.000000 8655.000000,7545.000000 8655.000000,7515.000000 8655.000000,7485.000000 8655.000000,7455.000000 8655.000000,7425.000000 8655.000000,7395.000000 8655.000000,7365.000000 8655.000000,7335.000000 8655.000000,7305.000000 8655.000000,7275.000000 8655.000000,7245.000000 8655.000000,7215.000000 8655.000000,7185.000000 8655.000000,7155.000000 8655.000000,7125.000000 8655.000000,7095.000000 8655.000000,7065.000000 8655.000000,7035.000000 8655.000000,7005.000000 8655.000000,7005.000000 8685.000000,6975.000000 8685.000000,6945.000000 8685.000000,6915.000000 8685.000000,6915.000000 8715.000000,6885.000000 8715.000000,6855.000000 8715.000000,6855.000000 8745.000000,6825.000000 8745.000000,6795.000000 8745.000000,6795.000000 8775.000000,6765.000000 8775.000000,6765.000000 8805.000000,6735.000000 8805.000000,6705.000000 8805.000000,6705.000000 8835.000000)"
